team,P(winner),P(final),P(semifinal),P(quarterfinal)
Argentina,0.2982,0.4096,0.535,0.6831
Spain,0.1689,0.2768,0.4099,0.5715
France,0.136,0.2397,0.3669,0.5344
Italy,0.0524,0.1171,0.2132,0.3711
England,0.0515,0.1179,0.2255,0.3832
Brazil,0.0483,0.1033,0.2023,0.3586
Germany,0.0468,0.1005,0.2032,0.3542
Portugal,0.0273,0.0622,0.1407,0.2782
Netherlands,0.0221,0.0576,0.1309,0.2586
Belgium,0.0183,0.0478,0.1173,0.2451
Croatia,0.0114,0.0336,0.087,0.1979
United States,0.0112,0.0294,0.0776,0.1864
Morocco,0.0102,0.0288,0.0773,0.1836
Mexico,0.0097,0.0314,0.0856,0.1956
Colombia,0.0076,0.0254,0.0628,0.1563
Uruguay,0.0075,0.0268,0.0735,0.1747
Switzerland,0.0066,0.022,0.0593,0.1536
Canada,0.0053,0.0174,0.0551,0.1436
Serbia,0.0045,0.015,0.0491,0.1238
Ecuador,0.0045,0.015,0.0459,0.1219
Senegal,0.0041,0.0136,0.0453,0.12
Denmark,0.004,0.0149,0.0462,0.1299
Austria,0.0034,0.0148,0.0442,0.1162
Poland,0.0034,0.0149,0.048,0.1227
Tunisia,0.0034,0.0113,0.0358,0.1012
Norway,0.003,0.0112,0.0347,0.0964
Algeria,0.0026,0.0109,0.0337,0.0984
Turkey,0.0022,0.0088,0.0315,0.0994
South Korea,0.0022,0.0092,0.0323,0.093
Ivory Coast,0.002,0.0073,0.025,0.0762
Paraguay,0.0019,0.0062,0.0236,0.0758
Australia,0.0019,0.0095,0.0316,0.09
Ukraine,0.0018,0.0087,0.0285,0.0802
Sweden,0.0017,0.0092,0.0325,0.0994
Japan,0.0016,0.0075,0.03,0.0925
Ghana,0.0016,0.0062,0.0195,0.0643
Egypt,0.0015,0.0072,0.0267,0.0774
Iran,0.0015,0.0086,0.0301,0.0922
Cameroon,0.0013,0.0052,0.023,0.0684
Panama,0.0012,0.0056,0.0205,0.0676
Scotland,0.0012,0.0048,0.0227,0.0689
Saudi Arabia,0.0009,0.004,0.0171,0.055
Nigeria,0.0008,0.0048,0.0192,0.0616
Uzbekistan,0.0007,0.005,0.0173,0.0579
Jordan,0.0007,0.005,0.0204,0.0672
New Zealand,0.0005,0.0027,0.0144,0.0513
Iraq,0.0003,0.003,0.0151,0.0509
Qatar,0.0003,0.0026,0.013,0.0506
